game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526374,0.0,1.0,Detroit Red Wings,Edmonton Oilers,28.0,59.0,56.0,17.0,50.0,72.0
/zapas/2526395,0.0,0.0,Detroit Red Wings,New York Rangers,26.0,59.0,61.0,33.0,65.0,56.0
/zapas/2526436,0.0,1.0,Detroit Red Wings,Montreal Canadiens,22.0,52.0,62.0,30.0,52.0,60.0
/zapas/2526453,0.0,0.0,Detroit Red Wings,Montreal Canadiens,22.0,53.0,65.0,33.0,57.0,58.0
/zapas/2526498,0.0,1.0,Detroit Red Wings,St. Louis Blues,24.0,53.0,66.0,38.0,66.0,51.0
/zapas/2526517,0.0,1.0,Detroit Red Wings,Florida Panthers,24.0,53.0,68.0,23.0,55.0,71.0
/zapas/2526572,1.0,0.0,Detroit Red Wings,New York Islanders,27.0,54.0,68.0,31.0,70.0,72.0
/zapas/2526632,1.0,1.0,Detroit Red Wings,New York Rangers,21.0,52.0,73.0,34.0,62.0,47.0
/zapas/2526668,1.0,1.0,Detroit Red Wings,Ottawa Senators,25.0,55.0,68.0,15.0,38.0,72.0
/zapas/2526683,1.0,1.0,Detroit Red Wings,Florida Panthers,24.0,49.0,67.0,31.0,50.0,57.0
/zapas/2526735,1.0,0.0,Detroit Red Wings,Chicago Blackhawks,23.0,48.0,67.0,30.0,60.0,56.0
/zapas/2526744,0.0,1.0,Detroit Red Wings,Dallas Stars,25.0,51.0,65.0,31.0,62.0,52.0
/zapas/2526768,0.0,1.0,Detroit Red Wings,Carolina Hurricanes,24.0,50.0,65.0,28.0,54.0,63.0
/zapas/2526806,0.0,1.0,Detroit Red Wings,Chicago Blackhawks,28.0,51.0,51.0,29.0,57.0,56.0
/zapas/2526843,1.0,0.0,Detroit Red Wings,Carolina Hurricanes,27.0,48.0,50.0,34.0,53.0,58.0
/zapas/2526851,0.0,0.0,Detroit Red Wings,Florida Panthers,29.0,51.0,49.0,30.0,52.0,57.0
/zapas/2526889,0.0,0.0,Detroit Red Wings,New York Islanders,25.0,50.0,51.0,23.0,59.0,76.0
/zapas/2526989,0.0,1.0,Detroit Red Wings,Buffalo Sabres,24.0,51.0,57.0,22.0,55.0,63.0
/zapas/2527005,1.0,1.0,Detroit Red Wings,Carolina Hurricanes,22.0,49.0,58.0,26.0,48.0,60.0
/zapas/2527014,1.0,0.0,Detroit Red Wings,New York Rangers,25.0,50.0,54.0,15.0,47.0,81.0
/zapas/2527034,0.0,0.0,Detroit Red Wings,St. Louis Blues,27.0,52.0,52.0,25.0,49.0,61.0
/zapas/2527226,0.0,0.0,Detroit Red Wings,Montreal Canadiens,12.0,43.0,67.0,20.0,48.0,69.0
/zapas/2527245,1.0,0.0,Detroit Red Wings,Buffalo Sabres,12.0,46.0,68.0,23.0,45.0,65.0
/zapas/2527261,1.0,1.0,Detroit Red Wings,Ottawa Senators,15.0,50.0,68.0,17.0,54.0,73.0
/zapas/2527300,0.0,1.0,Detroit Red Wings,Montreal Canadiens,18.0,52.0,67.0,20.0,49.0,68.0
/zapas/2527315,0.0,1.0,Detroit Red Wings,New York Islanders,15.0,52.0,70.0,19.0,57.0,74.0
/zapas/2647273,0.0,0.0,Detroit Red Wings,Montreal Canadiens,15.0,53.0,75.0,20.0,49.0,68.0
/zapas/2647306,1.0,0.0,Detroit Red Wings,Florida Panthers,15.0,52.0,77.0,35.0,61.0,55.0
/zapas/2647395,0.0,1.0,Detroit Red Wings,Edmonton Oilers,24.0,59.0,71.0,28.0,56.0,61.0
/zapas/2647417,1.0,1.0,Detroit Red Wings,Vancouver Canucks,24.0,60.0,71.0,32.0,64.0,66.0
/zapas/2647436,1.0,1.0,Detroit Red Wings,New York Rangers,23.0,58.0,71.0,21.0,51.0,67.0
/zapas/2647466,1.0,1.0,Detroit Red Wings,Arizona Coyotes,21.0,57.0,73.0,30.0,58.0,47.0
/zapas/2647479,0.0,0.0,Detroit Red Wings,Ottawa Senators,23.0,59.0,69.0,23.0,64.0,85.0
/zapas/2647490,1.0,0.0,Detroit Red Wings,New Jersey Devils,23.0,57.0,67.0,28.0,59.0,64.0
/zapas/2647549,0.0,1.0,Detroit Red Wings,Buffalo Sabres,25.0,57.0,63.0,36.0,66.0,57.0
/zapas/2647660,1.0,1.0,Detroit Red Wings,Los Angeles Kings,32.0,67.0,59.0,25.0,49.0,55.0
/zapas/2647688,0.0,1.0,Detroit Red Wings,Ottawa Senators,29.0,63.0,61.0,25.0,66.0,79.0
/zapas/2647718,0.0,0.0,Detroit Red Wings,Philadelphia Flyers,27.0,61.0,62.0,27.0,61.0,70.0
/zapas/2647745,0.0,1.0,Detroit Red Wings,Florida Panthers,26.0,61.0,62.0,24.0,65.0,77.0
/zapas/2647804,0.0,1.0,Detroit Red Wings,Florida Panthers,20.0,55.0,71.0,27.0,66.0,74.0
/zapas/2647860,0.0,1.0,Detroit Red Wings,Montreal Canadiens,20.0,56.0,71.0,31.0,57.0,55.0
/zapas/2647891,1.0,0.0,Detroit Red Wings,Minnesota Wild,14.0,52.0,73.0,25.0,47.0,57.0
/zapas/2647913,1.0,1.0,Detroit Red Wings,Anaheim Ducks,17.0,57.0,73.0,25.0,53.0,65.0
/zapas/2647951,0.0,0.0,Detroit Red Wings,Vancouver Canucks,17.0,54.0,70.0,34.0,60.0,52.0
/zapas/2647962,1.0,0.0,Detroit Red Wings,Edmonton Oilers,17.0,54.0,70.0,23.0,61.0,73.0
/zapas/2647991,1.0,0.0,Detroit Red Wings,Ottawa Senators,19.0,55.0,67.0,17.0,54.0,70.0
/zapas/2648037,0.0,0.0,Detroit Red Wings,Buffalo Sabres,21.0,55.0,63.0,21.0,57.0,70.0
